appid,Topic 1,Topic 2,Topic 3,Topic 4,Topic 9,Topic 10,Topic 11,Topic 12,Topic 18,Topic 21,Topic 23,Topic 25,Topic 26,Topic 29,Topic 31,Topic 32,Topic 33,Topic 34,Topic 36,Topic 38,Topic 40,Topic 41,Topic 44,Topic 46,Topic 49,Topic 5,Topic 6,Topic 7,Topic 8,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 19,Topic 20,Topic 22,Topic 24,Topic 27,Topic 28,Topic 30,Topic 35,Topic 37,Topic 39,Topic 42,Topic 43,Topic 45,Topic 47,Topic 48,Topic 50,award,area,ownership,scale
101990001,0.014367816,0.00862069,0.005747126,0.002873563,0.011494253,0.002873563,0.002873563,0.002873563,0.005747126,0.017241379,0.002873563,0.002873563,0.002873563,0.002873563,0.005747126,0.005747126,0.002873563,0.011494253,0.00862069,0.002873563,0.020114943,0.00862069,0.002873563,0.002873563,0.00862069,0.002873563,0.359195402,0.011494253,0.034482759,0.005747126,0.002873563,0.083333333,0.011494253,0.002873563,0.106321839,0.002873563,0.002873563,0.00862069,0.005747126,0.022988506,0.002873563,0.020114943,0.011494253,0.011494253,0.017241379,0.002873563,0.005747126,0.011494253,0.074712644,0.011494253,1,1,2,1
101990002,0.004201681,0.004201681,0.00210084,0.008403361,0.004201681,0.00210084,0.004201681,0.00210084,0.00210084,0.00210084,0.00210084,0.004201681,0.00210084,0.569327731,0.006302521,0.00210084,0.010504202,0.00210084,0.00210084,0.00210084,0.00210084,0.010504202,0.00210084,0.00210084,0.00210084,0.004201681,0.056722689,0.004201681,0.00210084,0.006302521,0.00210084,0.014705882,0.121848739,0.008403361,0.044117647,0.012605042,0.00210084,0.004201681,0.010504202,0.00210084,0.00210084,0.004201681,0.00210084,0.00210084,0.00210084,0.008403361,0.004201681,0.004201681,0.012605042,0.004201681,1,3,1,1
101990003,0.002358491,0.002358491,0.007075472,0.002358491,0.004716981,0.009433962,0.004716981,0.002358491,0.002358491,0.004716981,0.009433962,0.004716981,0.002358491,0.063679245,0.002358491,0.016509434,0.002358491,0.002358491,0.002358491,0.08490566,0.002358491,0.002358491,0.011792453,0.002358491,0.002358491,0.002358491,0.54245283,0.002358491,0.002358491,0.002358491,0.002358491,0.002358491,0.011792453,0.004716981,0.108490566,0.004716981,0.002358491,0.009433962,0.002358491,0.002358491,0.002358491,0.002358491,0.002358491,0.002358491,0.002358491,0.002358491,0.004716981,0.018867925,0.002358491,0.002358491,0,1,1,1
101990004,0.007067138,0.007067138,0.003533569,0.003533569,0.003533569,0.081272085,0.003533569,0.003533569,0.003533569,0.007067138,0.007067138,0.003533569,0.003533569,0.003533569,0.010600707,0.007067138,0.007067138,0.003533569,0.021201413,0.003533569,0.003533569,0.003533569,0.003533569,0.003533569,0.003533569,0.003533569,0.318021201,0.003533569,0.007067138,0.003533569,0.003533569,0.053003534,0.003533569,0.035335689,0.010600707,0.003533569,0.003533569,0.007067138,0.017667845,0.003533569,0.003533569,0.010600707,0.007067138,0.003533569,0.007067138,0.007067138,0.007067138,0.003533569,0.215547703,0.045936396,0,1,2,1
101990005,0.007590133,0.527514231,0.064516129,0.003795066,0.001897533,0.003795066,0.001897533,0.001897533,0.009487666,0.003795066,0.001897533,0.001897533,0.003795066,0.003795066,0.001897533,0.003795066,0.001897533,0.001897533,0.001897533,0.003795066,0.003795066,0.001897533,0.001897533,0.001897533,0.001897533,0.011385199,0.110056926,0.036053131,0.030360531,0.001897533,0.003795066,0.0056926,0.001897533,0.001897533,0.001897533,0.007590133,0.001897533,0.003795066,0.001897533,0.0056926,0.001897533,0.015180266,0.018975332,0.001897533,0.034155598,0.007590133,0.013282732,0.001897533,0.011385199,0.003795066,0,1,2,2
101990006,0.013392857,0.002232143,0.037946429,0.015625,0.013392857,0.011160714,0.022321429,0.011160714,0.002232143,0.029017857,0.004464286,0.008928571,0.013392857,0.020089286,0.002232143,0.002232143,0.006696429,0.004464286,0.004464286,0.004464286,0.006696429,0.035714286,0.008928571,0.013392857,0.022321429,0.029017857,0.145089286,0.0625,0.029017857,0.004464286,0.029017857,0.071428571,0.002232143,0.002232143,0.026785714,0.004464286,0.004464286,0.006696429,0.020089286,0.015625,0.013392857,0.040178571,0.008928571,0.102678571,0.026785714,0.008928571,0.004464286,0.002232143,0.013392857,0.008928571,0,3,2,2
101990007,0.004032258,0.008064516,0.012096774,0.004032258,0.004032258,0.032258065,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.008064516,0.012096774,0.004032258,0.004032258,0.008064516,0.004032258,0.004032258,0.004032258,0.004032258,0.370967742,0.008064516,0.008064516,0.004032258,0.008064516,0.177419355,0.036290323,0.004032258,0.040322581,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.004032258,0.012096774,0.008064516,0.004032258,0.032258065,0.004032258,0.004032258,0.084677419,0.004032258,0,3,2,2
101990008,0.004149378,0.004149378,0.385892116,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.008298755,0.004149378,0.004149378,0.004149378,0.004149378,0.008298755,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.004149378,0.186721992,0.004149378,0.004149378,0.008298755,0.091286307,0.045643154,0.004149378,0.004149378,0.004149378,0.008298755,0.004149378,0.004149378,0.004149378,0.01659751,0.004149378,0.004149378,0.066390041,0.004149378,0.004149378,0.004149378,0.008298755,0.008298755,0.004149378,0.004149378,0,3,2,2
101990009,0.025454545,0.003636364,0.003636364,0.032727273,0.003636364,0.007272727,0.014545455,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.010909091,0.003636364,0.003636364,0.003636364,0.007272727,0.007272727,0.003636364,0.007272727,0.007272727,0.007272727,0.003636364,0.003636364,0.607272727,0.003636364,0.029090909,0.007272727,0.003636364,0.003636364,0.003636364,0.021818182,0.025454545,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.003636364,0.018181818,0.003636364,0.025454545,0.007272727,0.003636364,0.018181818,0,3,2,1
101990010,0.002227171,0.004454343,0.006681514,0.011135857,0.002227171,0.004454343,0.002227171,0.002227171,0.002227171,0.002227171,0.002227171,0.002227171,0.002227171,0.002227171,0.002227171,0.002227171,0.008908686,0.002227171,0.002227171,0.002227171,0.002227171,0.008908686,0.002227171,0.59688196,0.002227171,0.002227171,0.102449889,0.002227171,0.002227171,0.002227171,0.004454343,0.004454343,0.002227171,0.002227171,0.006681514,0.002227171,0.004454343,0.002227171,0.011135857,0.002227171,0.002227171,0.002227171,0.008908686,0.002227171,0.002227171,0.033407572,0.002227171,0.002227171,0.10467706,0.004454343,1,3,2,2
